sql [2021-06-25 08:41:45] [DEBUG]: Executing (default): SELECT `id`, `enName`, `znName`, `sex`, `selfIntroduce`, `birthday`, `startWork`, `schoolName`, `mayjor`, `education`, `companyName`, `postName`, `industry`, `skill`, `createdAt`, `updatedAt` FROM `myselves` AS `myself`;

sql [2021-06-25 08:44:31] [DEBUG]: Executing (default): SELECT `id`, `enName`, `znName`, `sex`, `selfIntroduce`, `birthday`, `startWork`, `schoolName`, `mayjor`, `education`, `companyName`, `postName`, `industry`, `skill`, `createdAt`, `updatedAt` FROM `myselves` AS `myself`;

sql [2021-06-25 08:56:31] [DEBUG]: Executing (default): SELECT `id`, `enName`, `znName`, `sex`, `selfIntroduce`, `birthday`, `startWork`, `schoolName`, `mayjor`, `education`, `companyName`, `postName`, `industry`, `skill`, `createdAt`, `updatedAt` FROM `myselves` AS `myself`;

sql [2021-06-25 08:57:04] [DEBUG]: Executing (default): SELECT `id`, `enName`, `znName`, `sex`, `selfIntroduce`, `birthday`, `startWork`, `schoolName`, `mayjor`, `education`, `companyName`, `postName`, `industry`, `skill`, `createdAt`, `updatedAt` FROM `myselves` AS `myself`;

sql [2021-06-25 08:57:40] [DEBUG]: Executing (default): SELECT `id`, `enName`, `znName`, `sex`, `selfIntroduce`, `birthday`, `startWork`, `schoolName`, `mayjor`, `education`, `companyName`, `postName`, `industry`, `skill`, `createdAt`, `updatedAt` FROM `myselves` AS `myself`;

sql [2021-06-25 08:59:54] [DEBUG]: Executing (default): SELECT `id`, `enName`, `znName`, `sex`, `selfIntroduce`, `birthday`, `startWork`, `schoolName`, `mayjor`, `education`, `companyName`, `postName`, `industry`, `skill`, `createdAt`, `updatedAt` FROM `myselves` AS `myself`;

sql [2021-06-25 09:00:21] [DEBUG]: Executing (default): SELECT `id`, `enName`, `znName`, `sex`, `selfIntroduce`, `birthday`, `startWork`, `schoolName`, `mayjor`, `education`, `companyName`, `postName`, `industry`, `skill`, `createdAt`, `updatedAt` FROM `myselves` AS `myself`;

sql [2021-06-25 09:00:41] [DEBUG]: Executing (default): SELECT `id`, `enName`, `znName`, `sex`, `selfIntroduce`, `birthday`, `startWork`, `schoolName`, `mayjor`, `education`, `companyName`, `postName`, `industry`, `skill`, `createdAt`, `updatedAt` FROM `myselves` AS `myself`;

sql [2021-06-25 09:01:56] [DEBUG]: Executing (default): SELECT `id`, `enName`, `znName`, `sex`, `selfIntroduce`, `birthday`, `startWork`, `schoolName`, `mayjor`, `education`, `companyName`, `postName`, `industry`, `skill`, `createdAt`, `updatedAt` FROM `myselves` AS `myself`;

sql [2021-06-25 09:02:18] [DEBUG]: Executing (default): SELECT `id`, `enName`, `znName`, `sex`, `selfIntroduce`, `birthday`, `startWork`, `schoolName`, `mayjor`, `education`, `companyName`, `postName`, `industry`, `skill`, `createdAt`, `updatedAt` FROM `myselves` AS `myself`;

sql [2021-06-25 09:10:54] [DEBUG]: Executing (default): SELECT `id`, `enName`, `znName`, `sex`, `selfIntroduce`, `birthday`, `startWork`, `schoolName`, `mayjor`, `education`, `companyName`, `postName`, `industry`, `skill`, `createdAt`, `updatedAt` FROM `myselves` AS `myself`;

sql [2021-06-25 09:16:53] [DEBUG]: Executing (default): SELECT `id`, `enName`, `znName`, `sex`, `selfIntroduce`, `birthday`, `startWork`, `schoolName`, `mayjor`, `education`, `companyName`, `postName`, `industry`, `skill`, `createdAt`, `updatedAt` FROM `myselves` AS `myself`;

sql [2021-06-25 09:17:10] [DEBUG]: Executing (default): SELECT `id`, `enName`, `znName`, `sex`, `selfIntroduce`, `birthday`, `startWork`, `schoolName`, `mayjor`, `education`, `companyName`, `postName`, `industry`, `skill`, `createdAt`, `updatedAt` FROM `myselves` AS `myself`;

sql [2021-06-25 09:17:37] [DEBUG]: Executing (default): SELECT `id`, `enName`, `znName`, `sex`, `selfIntroduce`, `birthday`, `startWork`, `schoolName`, `mayjor`, `education`, `companyName`, `postName`, `industry`, `skill`, `createdAt`, `updatedAt` FROM `myselves` AS `myself`;

sql [2021-06-25 09:19:14] [DEBUG]: Executing (default): SELECT `id`, `enName`, `znName`, `sex`, `selfIntroduce`, `birthday`, `startWork`, `schoolName`, `mayjor`, `education`, `companyName`, `postName`, `industry`, `skill`, `createdAt`, `updatedAt` FROM `myselves` AS `myself`;

sql [2021-06-25 09:21:08] [DEBUG]: Executing (default): SELECT `id`, `enName`, `znName`, `sex`, `selfIntroduce`, `birthday`, `startWork`, `schoolName`, `mayjor`, `education`, `companyName`, `postName`, `industry`, `skill`, `createdAt`, `updatedAt` FROM `myselves` AS `myself`;

sql [2021-06-25 09:21:33] [DEBUG]: Executing (default): SELECT `id`, `enName`, `znName`, `sex`, `selfIntroduce`, `birthday`, `startWork`, `schoolName`, `mayjor`, `education`, `companyName`, `postName`, `industry`, `skill`, `createdAt`, `updatedAt` FROM `myselves` AS `myself`;

